rank,slug,title,devpost_url,stage,leverage,execution,impact,creativity,aggregate,confidence,webmcp_verification,adjudication,screenshot
1,physical-ai-webmcp-command-center,Physical AI WebMCP Command Center,https://devpost.com/software/physical-ai-webmcp-command-center,S1R,10,10,9,9,38,0.86,UNVERIFIED,,screenshots/physical-ai-webmcp-command-center.png
2,handrail-8v6gls,Handrail,https://devpost.com/software/handrail-8v6gls,S1R,10,9,10,9,38,0.93,UNVERIFIED,,screenshots/handrail-8v6gls.png
3,alza,Alza,https://devpost.com/software/alza,S2,10.0,9.0,9.0,10.0,38.0,0.93,VERIFIED_RUNTIME,,screenshots/alza.png
4,incident-command,Incident Command,https://devpost.com/software/incident-command,S1R,10,9,9,10,38,0.8,UNVERIFIED,,screenshots/incident-command.png
5,paperveil,PaperVeil,https://devpost.com/software/paperveil,S1R,10,9,9,10,38,0.8,UNVERIFIED,,screenshots/paperveil.png
6,grenz-a-policy-layer-for-webmcp,Grenz: a policy layer for WebMCP,https://devpost.com/software/grenz-a-policy-layer-for-webmcp,S2,10.0,8.5,9.5,10.0,38.0,0.955,CLAIM_ONLY,,screenshots/grenz-a-policy-layer-for-webmcp.png
7,mace,Mace,https://devpost.com/software/mace,S2,10.0,9.0,8.5,10.0,37.5,0.895,VIDEO_VERIFIED,,screenshots/mace.png
8,pillbox-ktnp5v,Pillbox,https://devpost.com/software/pillbox-ktnp5v,S2,10.0,8.5,10.0,9.0,37.5,0.915,VERIFIED_RUNTIME,,screenshots/pillbox-ktnp5v.png
9,substrate-ys7ta2,Substrate,https://devpost.com/software/substrate-ys7ta2,S2,10.0,7.5,10.0,10.0,37.5,0.88,VERIFIED_RUNTIME,,screenshots/substrate-ys7ta2.png
10,agent-control-plane-cwqo5j,AGENT CONTROL PLANE,https://devpost.com/software/agent-control-plane-cwqo5j,S1R,10,9,9,9,37,0.92,UNVERIFIED,,screenshots/agent-control-plane-cwqo5j.png
11,careloop-webmcp-for-a-toddler-s-first-allergy,CareBridge: humans in control of multi-page agent workflows,https://devpost.com/software/careloop-webmcp-for-a-toddler-s-first-allergy,S1R,10,9,9,9,37,0.92,UNVERIFIED,,screenshots/careloop-webmcp-for-a-toddler-s-first-allergy.png
12,flightsweeper,FlightSweeper,https://devpost.com/software/flightsweeper,S1R,10,9,9,9,37,0.94,UNVERIFIED,,screenshots/flightsweeper.png
13,floortris,Floortris,https://devpost.com/software/floortris,S1R,10,9,9,9,37,0.91,UNVERIFIED,,screenshots/floortris.png
14,ingram-sheets,Ingram Sheets,https://devpost.com/software/ingram-sheets,S1R,10,9,9,9,37,0.91,UNVERIFIED,,screenshots/ingram-sheets.png
15,ops-co-pilot,Ops Co-pilot,https://devpost.com/software/ops-co-pilot,S1R,10,9,9,9,37,0.92,UNVERIFIED,,screenshots/ops-co-pilot.png
16,overhead,Overhead,https://devpost.com/software/overhead,S1R,10,9,9,9,37,0.89,UNVERIFIED,,screenshots/overhead.png
17,proofsheet,Paris ICC,https://devpost.com/software/proofsheet,S1R,10,9,9,9,37,0.84,UNVERIFIED,,screenshots/proofsheet.png
18,rewind-siqgzb,REWIND,https://devpost.com/software/rewind-siqgzb,S1R,10,9,9,9,37,0.92,UNVERIFIED,,screenshots/rewind-siqgzb.png
19,roomcraft-3wlqf5,RoomCraft,https://devpost.com/software/roomcraft-3wlqf5,S1R,10,9,9,9,37,0.91,UNVERIFIED,,screenshots/roomcraft-3wlqf5.png
20,rough-cut,ROUGH//CUT,https://devpost.com/software/rough-cut,S1R,10,9,9,9,37,0.96,UNVERIFIED,,screenshots/rough-cut.png
21,sightline-mndf14,Sightline,https://devpost.com/software/sightline-mndf14,S1R,10,9,9,9,37,0.93,UNVERIFIED,,screenshots/sightline-mndf14.png
22,sigmora-live-relay,Sigmora Live Relay,https://devpost.com/software/sigmora-live-relay,S1R,10,9,9,9,37,0.93,UNVERIFIED,,screenshots/sigmora-live-relay.png
23,verified-mission-control,Verified Mission Control,https://devpost.com/software/verified-mission-control,S1R,10,9,9,9,37,0.91,UNVERIFIED,,screenshots/verified-mission-control.png
24,last-door,LAST DOOR,https://devpost.com/software/last-door,S1R,10,9,8,10,37,0.93,UNVERIFIED,,screenshots/last-door.png
25,onionskin,Onionskin,https://devpost.com/software/onionskin,S1R,10,9,8,10,37,0.93,UNVERIFIED,,screenshots/onionskin.png
26,parallax-spatial-mcp,PARALLAX SPATIAL MCP,https://devpost.com/software/parallax-spatial-mcp,S1R,10,9,8,10,37,0.95,UNVERIFIED,,screenshots/parallax-spatial-mcp.png
27,paper-trail-9b2q4x,Paper Trail,https://devpost.com/software/paper-trail-9b2q4x,S1R,10,8,10,9,37,0.86,UNVERIFIED,,screenshots/paper-trail-9b2q4x.png
28,gridfall,Gridfall,https://devpost.com/software/gridfall,S1R,10,8,9,10,37,0.78,UNVERIFIED,,screenshots/gridfall.png
